OBJECTID,ROAD_PT_ID,LON_pt,LAT_pt,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,F_ELEV,T_ELEV,RD_SEG_ID,ORIG_FID,LIQ_Class,PGA_mean_log,PGA_sigma_log,BLDG_ID,BLDG_EWd,BLDG_sigmaEWd,BLDG_CLASS,BLDG_collapse_m,BLDG_collapse_b,BLDG_Dist_bld,BLDG_ID_bld,BR_CLASS,BR_logmean,BR_logsigma,LS_areaYN,LS_ID_fface,LS_Dist_fface,LS_H_fface,LS_Slope,CULV_ID,CULV_MnPGD,CULV_Y_N,RW_ID,RW_PGA,RW_sd,RW_CLASS,PGA25,PGA100,PGA500,PGA1000,PGA2500,LAN_SU_ID,LAN_LP25_max,LAN_LP100_max,LAN_LP500_max,LAN_LP1000_max,LAN_LP2500_max,LAN_RO_Vol,LAN_RO_V_1,LAN_RO_V_2,LAN_RO_V_3,LAN_RO_V_4,LAN_RO_V_5,LAN_VolCla
1,1,176.8997822,-39.49518415,6607267,5113,primary,Hyderabad Road,SH 51,B,50,0,F,F,0,0,1,1,E,-0.87850573,0.721714199,1801115,3.550510384,1.572474397,TWL5S,,,999,999,,,,,-1,-1,,,,,,,,,,0.06982365,0.147355367,0.30106716,0.395539751,0.552394,51,0.00515452,0.006386075,0.00975651,0.01264901,0.019426472,No,No,No,No,No,No,4
2,2,176.8994082,-39.49519676,6607267,5113,primary,Hyderabad Road,SH 51,B,50,0,F,F,0,0,2,2,E,-0.87850573,0.721714199,1801115,3.550510384,1.572474397,TWL5S,,,999,999,,,,,-1,-1,,,,,,,,,,0.06982365,0.147355367,0.30106716,0.395539751,0.552394,51,0.00515452,0.006386075,0.00975651,0.01264901,0.019426472,No,No,No,No,No,No,4
3,3,176.8989217,-39.49521481,6607267,5113,primary,Hyderabad Road,SH 51,B,50,0,F,F,0,0,3,3,E,-0.907183737,0.682618567,1801115,3.550510384,1.572474397,TWL5S,,,999,999,,,,,-1,-1,,,,,,,,,,0.06982365,0.147355367,0.30106716,0.395539751,0.552394,51,0.00515452,0.006386075,0.00975651,0.01264901,0.019426472,No,No,No,No,No,No,4
4,4,176.898435,-39.49522587,6607267,5113,primary,Hyderabad Road,SH 51,B,50,0,F,F,0,0,4,4,E,-0.907183737,0.682618567,1801115,3.550510384,1.572474397,TWL5S,,,999,999,,,,,-1,-1,,,,,,,,,,0.06982365,0.147355367,0.30106716,0.395539751,0.552394,51,0.00515452,0.006386075,0.00975651,0.01264901,0.019426472,No,No,No,No,No,No,4
5,5,176.89796,-39.49523116,6607267,5113,primary,Hyderabad Road,SH 51,B,50,0,F,F,0,0,5,5,E,-0.907183737,0.682618567,1801115,3.550510384,1.572474397,TWL5S,,,999,999,,,,,875,237.7636296,3.458741188,,,,,,,,,0.06982365,0.147355367,0.30106716,0.395539751,0.552394,53,0.00515452,0.006386075,0.00975651,0.01264901,0.019426472,No,No,Yes,No,Yes,No,4
6,6,176.8974851,-39.49523356,6607267,5113,primary,Hyderabad Road,SH 51,B,50,0,F,F,0,0,6,6,E,-0.907183737,0.682618567,1801115,3.550510384,1.572474397,TWL5S,,,999,999,,,,,875,196.9199996,3.458741188,,,,,,,,,0.06982365,0.147355367,0.30106716,0.395539751,0.552394,53,0.00515452,0.006386075,0.00975651,0.01264901,0.019426472,No,Yes,Yes,No,Yes,No,4
7,7,176.8969768,-39.49522586,6607267,5113,primary,Hyderabad Road,SH 51,B,50,0,F,F,0,0,7,7,E,-0.913370175,0.748228209,1801115,3.550510384,1.572474397,TWL5S,,,999,999,,,,,875,153.1886258,3.458741188,,,,,,,,,0.06982365,0.147355367,0.30106716,0.395539751,0.552394,53,0.00515452,0.006386075,0.00975651,0.01264901,0.019426472,No,No,Yes,No,Yes,No,4
8,8,176.8966867,-39.4952029,6607267,5113,primary,Hyderabad Road,SH 51,B,50,0,F,F,0,0,8,8,E,-0.913370175,0.748228209,1801115,3.550510384,1.572474397,TWL5S,,,999,999,,,,,875,128.220961,3.458741188,,,,,,,,,0.06982365,0.147355367,0.30106716,0.395539751,0.552394,53,0.00515452,0.006386075,0.00975651,0.01264901,0.019426472,No,No,No,No,Yes,No,4
9,9,176.8613409,-39.52614403,7919177,5114,secondary,Gloucester Street,,B,50,0,F,F,0,0,9,9,C,-0.896667521,0.744898663,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069,0.145741456,0.29196138,0.377041814,0.513906,0,0,0,0,0,0,No,No,No,No,No,No,0
10,10,176.8608879,-39.52642424,7919177,5114,secondary,Gloucester Street,,B,50,0,F,F,0,0,10,10,C,-0.939958092,0.730613432,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069,0.145741456,0.29196138,0.377041814,0.513906,0,0,0,0,0,0,No,No,No,No,No,No,0
11,11,176.8605248,-39.52665058,7919177,5114,secondary,Gloucester Street,,B,50,0,F,F,0,0,11,11,C,-0.939958092,0.730613432,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069,0.145741456,0.29196138,0.377041814,0.513906,0,0,0,0,0,0,No,No,No,No,No,No,0
12,12,176.8601794,-39.52689339,7919177,5114,secondary,Gloucester Street,,B,50,0,F,F,0,0,12,12,C,-0.939958092,0.730613432,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069,0.145741456,0.29196138,0.377041814,0.513906,0,0,0,0,0,0,No,No,No,No,No,No,0
13,13,176.8597385,-39.52718617,7919177,5114,secondary,Gloucester Street,,B,50,0,F,F,0,0,13,13,C,-0.939958092,0.730613432,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069,0.145741456,0.29196138,0.377041814,0.513906,0,0,0,0,0,0,No,No,No,No,No,No,0
14,14,176.8593148,-39.52746076,7919177,5114,secondary,Gloucester Street,,B,50,0,F,F,0,0,14,14,C,-0.939958092,0.730613432,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069,0.145741456,0.29196138,0.377041814,0.513906,0,0,0,0,0,0,No,No,No,No,No,No,0
15,15,176.8588929,-39.52773704,7919177,5114,secondary,Gloucester Street,,B,50,0,F,F,0,0,15,15,C,-0.879774412,0.733624077,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069,0.145741456,0.29196138,0.377041814,0.513906,0,0,0,0,0,0,No,No,No,No,No,No,0
16,16,176.8584547,-39.52803246,7919177,5114,secondary,Gloucester Street,,B,50,0,F,F,0,0,16,16,C,-0.879774412,0.733624077,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069,0.145741456,0.29196138,0.377041814,0.513906,0,0,0,0,0,0,No,No,No,No,No,No,0
17,17,176.8580742,-39.52827192,7919177,5114,secondary,Gloucester Street,,B,50,0,F,F,0,0,17,17,C,-0.879774412,0.733624077,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069,0.145741456,0.29196138,0.377041814,0.513906,0,0,0,0,0,0,No,No,No,No,No,No,0
18,18,176.8576998,-39.52851865,7919177,5114,secondary,Gloucester Street,,B,50,0,F,F,0,0,18,18,C,-0.879774412,0.733624077,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069,0.145741456,0.29196138,0.377041814,0.513906,0,0,0,0,0,0,No,No,No,No,No,No,0
