meanpga_lo,Liq_Class,land_LP2500_max
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,D,Low
High,D,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
High,E,Low
High,E,Low
Mid,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
Mid,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
Mid,E,Low
Mid,M,Low
High,M,Low
High,C,Low
Mid,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
High,E,Low
Mid,M,Low
High,M,Low
Mid,M,Low
Mid,E,Low
Mid,E,Low
Mid,E,Low
Mid,E,Low
High,M,Low
High,C,Low
Mid,C,Low
High,C,Low
Mid,F,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
High,E,Low
Mid,E,Low
Mid,M,Low
Mid,M,Low
Mid,M,Low
Mid,M,Low
Mid,E,Low
Mid,E,Low
Mid,H,Low
High,H,Low
High,H,Low
Mid,H,Low
Mid,H,Low
High,H,Low
High,E,Low
High,M,Low
Mid,M,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
Mid,F,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
Mid,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,D,Low
High,D,Low
High,D,Low
High,E,Low
Mid,M,Low
Mid,E,Low
Mid,E,Low
Mid,H,Low
Mid,H,Low
Mid,H,Low
Mid,H,Low
Mid,E,Low
High,E,Low
High,C,Low
Mid,C,Low
High,C,Low
High,C,Low
Mid,C,Low
Mid,C,Low
Mid,C,Low
High,F,Low
High,F,Low
High,F,Low
High,C,Low
Mid,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
Mid,D,Low
Mid,M,Low
Mid,E,Low
Mid,E,Low
Mid,H,Low
Mid,H,Low
Mid,H,Low
Low,H,Low
Mid,H,Low
Mid,H,Low
High,H,Low
High,H,Low
Mid,H,Low
High,E,Low
Mid,E,Low
High,E,Low
High,E,Low
Mid,E,Low
High,E,Low
High,F,Low
High,F,Low
High,F,Low
High,F,Low
High,F,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,D,Low
High,D,Low
High,C,Low
High,C,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
High,E,Low
Mid,M,Low
Mid,E,Low
Mid,H,Low
Mid,E,Low
High,H,Low
Mid,H,Low
Mid,H,Low
Mid,H,Low
Mid,H,Low
High,H,Low
High,H,Low
High,H,Low
High,H,Low
High,E,Low
High,E,Low
High,E,Low
High,E,Low
Mid,E,Low
Mid,F,Low
High,F,Low
High,F,Low
Mid,F,Low
High,F,Low
Mid,F,Low
Mid,C,Low
Mid,C,Low
Mid,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
Mid,E,Low
Mid,M,Low
Low,E,Low
Mid,E,Low
Mid,H,Low
High,H,Low
Mid,H,Low
Mid,H,Low
Mid,H,Low
Mid,H,Low
High,H,Low
Mid,H,Low
High,H,Low
Mid,H,Low
Mid,H,Low
Mid,E,Low
Mid,E,Low
Mid,E,Low
High,E,Low
Mid,E,Low
Mid,F,Low
Mid,F,Low
Mid,F,Low
Mid,F,Low
High,F,Low
Mid,C,Low
Mid,C,Low
Mid,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
Mid,C,Low
Mid,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
Mid,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
High,E,Low
High,E,Low
Low,H,Low
Mid,H,Low
High,H,Low
Mid,H,Low
Mid,H,Low
Mid,H,Low
Mid,H,Low
Mid,H,Low
High,H,Low
High,Z,Low
High,E,Low
Mid,E,Low
High,E,Low
Mid,E,Low
Mid,E,Low
High,F,Low
High,F,Low
High,F,Low
Mid,F,Low
Mid,F,Low
Mid,F,Low
High,C,Low
High,C,Low
High,C,Low
Mid,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,C,Low
High,D,Low
High,D,Low
High,D,Low
High,D,Low
